disease_type	disease_id	cell_type	celltype_species	cell_ID	cell_def	marker	marker_type	database_specificity	EC_score	species	gene_description	database
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CXCR4	positive	1.00	1	Human	C-X-C motif chemokine receptor 4 	Gwendolin Muehlinghaus, Luisa Cigliano, Stephan Huehn, Anette Peddinghaus, Heike Leyendeckers, Anja E. Hauser, Falk Hiepe, Andreas Radbruch, Sergio Arce, Rudolf A. Manz; Regulation of CXCR3 and CXCR4 expression during terminal differentiation of memory B cells into plasma cells. Blood 2005; 105 (10): 3965–3971. doi: https://doi.org/10.1182/blood-2004-08-2992
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CDH2	positive	1.00	1	Human	cadherin 2 	CellMarker
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	CD19	positive	0.11	1	Human	CD19 molecule 	Bagheri, M., Vosoughi, T., Hosseinzadeh, M. et al. Evaluation of immunophenotypic markers and clinico-hematological profile in chronic lymphocytic leukemia: implications for prognosis. BMC Res Notes13, 412 (2020). https://doi.org/10.1186/s13104-020-05243-7
B-cell acute lymphoblastic leukemia	DOID:0080638	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:0080638-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD19	positive	0.11	1	Human	CD19 molecule 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD19	positive	0.11	1	Human	CD19 molecule 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD19	positive	0.11	2	Human	CD19 molecule 	CellMarker; Paiva B, Puig N, Cedena MT, de Jong BG, Ruiz Y, Rapado I, Martinez-Lopez J, Cordon L, Alignani D, Delgado JA, van Zelm MC, Van Dongen JJ, Pascual M, Agirre X, Prosper F, Martín-Subero JI, Vidriales MB, Gutierrez NC, Hernandez MT, Oriol A, Echeveste MA, Gonzalez Y, Johnson SK, Epstein J, Barlogie B, Morgan GJ, Orfao A, Blade J, Mateos MV, Lahuerta JJ, San-Miguel JF. Differentiation stage of myeloma plasma cells: biological and clinical significance. Leukemia. 2017 Feb;31(2):382-392. doi: 10.1038/leu.2016.211. Epub 2016 Aug 1. PMID: 27479184; PMCID: PMC5439510.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD19	negative	0.11	4	Human	CD19 molecule 	Solimando, A.G.; Da Vià, M.C.; Bolli, N.; Steinbrunn, T. The Route of the Malignant Plasma Cell in Its Survival Niche: Exploring “Multiple Myelomas”. Cancers 2022, 14, 3271. https://doi.org/10.3390/cancers14133271; BioCompare; Milteny Biotec; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD2	positive	1.00	1	Human	CD2 molecule 	van Rhenen A, Feller N, Kelder A, Westra AH, Rombouts E, Zweegman S, et al. High stem cell frequency in acute myeloid leukemia at diagnosis predicts high minimal residual disease and poor survival. Clin Cancer Res. 2005;11:6520–7.
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	CD200	positive	0.20	1	Human	CD200 molecule 	Rawstron AC, Kreuzer KA, Soosapilla A, Spacek M, Stehlikova O, Gambell P, McIver-Brown N, Villamor N, Psarra K, Arroz M, Milani R, de la Serna J, Cedena MT, Jaksic O, Nomdedeu J, Moreno C, Rigolin GM, Cuneo A, Johansen P, Johnsen HE, Rosenquist R, Niemann CU, Kern W, Westerman D, Trneny M, Mulligan S, Doubek M, Pospisilova S, Hillmen P, Oscier D, Hallek M, Ghia P, Montserrat E. Reproducible diagnosis of chronic lymphocytic leukemia by flow cytometry: An European Research Initiative on CLL (ERIC) & European Society for Clinical Cell Analysis (ESCCA) Harmonisation project. Cytometry B Clin Cytom. 2018 Jan;94(1):121-128. doi: 10.1002/cyto.b.21595. Epub 2018 Jan 17. PMID: 29024461; PMCID: PMC5817234.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD200	positive	0.20	2	Human	CD200 molecule 	Ngwa C., Liu F. CD200-CD200R signaling and diseases: A potential therapeutic target? Int. J. Physiol. Pathophysiol. Pharmcol. 2019;11:297–309.; Ho J.M., Dobson S.M., Voisin V., McLeod J., Kennedy J.A., Mitchell A., Jin L., Eppert K., Bader G., Minden M.D., et al. CD200 expression marks leukemia stem cells in human AML. Blood Adv. 2020;4:5402–5413. doi: 10.1182/bloodadvances.2020001802.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD200	positive	0.20	2	Human	CD200 molecule 	Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.; BioCompare
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD22	positive	1.00	1	Human	CD22 molecule 	Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD244	positive	0.25	4	Human	CD244 molecule 	Haubner S., Perna F., Köhnke T., Schmidt C., Berman S., Augsberger C., Schnorfeil F.M., Krupka C., Lichtenegger F.S., Liu X., et al. Coexpression profile of leukemic stem cell markers for combinatorial targeted therapy in AML. Leukemia. 2019;33:64–74. doi: 10.1038/s41375-018-0180-3.; Zhang F., Liu X., Chen C., Zhu J., Yu Z., Xie J., Xie L., Bai H., Zhang Y., Fang X., et al. CD244 maintains the proliferation ability of leukemia initiating cells through SHP-2/p27kip1 signaling. Haematologica. 2017;102:707–718. doi: 10.3324/haematol.2016.151555.; Agresta L., Hoebe K.H.N., Janssen E.M. The emerging role of CD244 signaling in immune cells of the tumor microenvironment. Front. Immunol. 2018;9:2809. doi: 10.3389/fimmu.2018.02809.; Quek L., Otto G.W., Garnett C., Lhermitte L., Karamitros D., Stoilova B., Lau I.J., Doondeea J., Usukhbayar B., Kennedy A., et al. Genetically distinct leukemic stem cells in human CD34− acute myeloid leukemia are arrested at a hemopoietic precursor-like stage. J. Exp. Med. 2016;213:1513–1535. doi: 10.1084/jem.20151775.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD27	positive	0.14	1	Human	CD27 molecule 	Riether C., Schürch C.M., Ochsenbein A.F. Regulation of hematopoietic and leukemic stem cells by the immune system. Cell Death Differ. 2015;22:187–198. doi: 10.1038/cdd.2014.89.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD27	positive	0.14	1	Human	CD27 molecule 	Riether C., Schürch C.M., Ochsenbein A.F. Regulation of hematopoietic and leukemic stem cells by the immune system. Cell Death Differ. 2015;22:187–198. doi: 10.1038/cdd.2014.89.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD27	negative	0.14	5	Human	CD27 molecule 	BioCompare; Milteny Biotec; Bin Chu, Li Bao, Yutong Wang, Minqiu Lu, Lei Shi, Shan Gao, Lijuan Fang, Qiuqing Xiang, Xi Liu,CD27 antigen negative expression indicates poor prognosis in newly diagnosed multiple myeloma, Clinical Immunology,Volume 213,2020,108363,ISSN 1521-6616,https://doi.org/10.1016/j.clim.2020.108363.; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.; Solimando, A.G.; Da Vià, M.C.; Bolli, N.; Steinbrunn, T. The Route of the Malignant Plasma Cell in Its Survival Niche: Exploring “Multiple Myelomas”. Cancers 2022, 14, 3271. https://doi.org/10.3390/cancers14133271
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD28	positive	0.33	3	Human	CD28 molecule 	Milteny Biotec; BioCompare; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	CD33	positive	0.08	2	Human	CD33 molecule 	Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.; BioCompare
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD33	positive	0.08	3	Human	CD33 molecule 	Jilani, I. et al. Differences in CD33 intensity between various myeloid neoplasms. Am. J. Clin. Pathol.118, 560–566 (2002).; Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD33	positive	0.08	7	Human	CD33 molecule 	Haubner S., Perna F., Köhnke T., Schmidt C., Berman S., Augsberger C., Schnorfeil F.M., Krupka C., Lichtenegger F.S., Liu X., et al. Coexpression profile of leukemic stem cell markers for combinatorial targeted therapy in AML. Leukemia. 2019;33:64–74. doi: 10.1038/s41375-018-0180-3.; Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.; Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; Jilani, I. et al. Differences in CD33 intensity between various myeloid neoplasms. Am. J. Clin. Pathol.118, 560–566 (2002).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Ehninger A., Kramer M., Röllig C., Thiede C., Bornhäuser M., von Bonin M., Wermke M., Feldmann A., Bachmann M., Ehninger G., et al. Distribution and levels of cell surface expression of CD33 and CD123 in acute myeloid leukemia. Blood Cancer J. 2014;4:e218. doi: 10.1038/bcj.2014.39.; Laszlo G.S., Estey E.H., Walter R.B. The past and future of CD33 as therapeutic target in acute myeloid leukemia. Blood Rev. 2014;28:143–153. doi: 10.1016/j.blre.2014.04.001.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	Cd34	positive	1.00	1	Mouse	CD34 antigen 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD34	positive	0.10	1	Human	CD34 molecule 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD34	positive	0.10	1	Human	CD34 molecule 	Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.
acute lymphoblastic leukemia	DOID:9952	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9952-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD34	positive	0.10	1	Human	CD34 molecule 	Nielsen J.S., McNagny K.M. Erratum: Novel functions of the CD34 family. J. Cell Sci. 2008;121:3683–3692. doi: 10.1242/jcs.037507.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD34	positive	0.10	7	Human	CD34 molecule 	Terwijn M, Zeijlemaker W, Kelder A, Rutten AP, Snel AN, Scholten WJ, Pabst T, Verhoef G, Löwenberg B, Zweegman S, Ossenkoppele GJ, Schuurhuis GJ. Leukemic stem cell frequency: a strong biomarker for clinical outcome in acute myeloid leukemia. PLoS One. 2014 Sep 22;9(9):e107587. doi: 10.1371/journal.pone.0107587. PMID: 25244440; PMCID: PMC4171508.; CellMarker; Hwang K, Park CJ, Jang S, Chi HS, Kim DY, Lee JH, Lee JH, Lee KH, Im HJ, Seo JJ. Flow cytometric quantification and immunophenotyping of leukemic stem cells in acute myeloid leukemia. Ann Hematol. 2012 Oct;91(10):1541-6. doi: 10.1007/s00277-012-1501-7. Epub 2012 Jun 6. PMID: 22669506.; Nielsen J.S., McNagny K.M. Erratum: Novel functions of the CD34 family. J. Cell Sci. 2008;121:3683–3692. doi: 10.1242/jcs.037507.; Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.; Hanekamp, D., Cloos, J. & Schuurhuis, G.J. Leukemic stem cells: identification and clinical application. Int J Hematol 105, 549–557 (2017). https://doi.org/10.1007/s12185-017-2221-5; Quek L., Otto G.W., Garnett C., Lhermitte L., Karamitros D., Stoilova B., Lau I.J., Doondeea J., Usukhbayar B., Kennedy A., et al. Genetically distinct leukemic stem cells in human CD34− acute myeloid leukemia are arrested at a hemopoietic precursor-like stage. J. Exp. Med. 2016;213:1513–1535. doi: 10.1084/jem.20151775.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD36	positive	0.50	1	Human	CD36 molecule 	Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD36	positive	0.50	1	Human	CD36 molecule 	Sachs K., Sarver A.L., Noble-Orcutt K.E., LaRue R.S., Antony M.L., Chang D., Lee Y., Navis C.M., Hillesheim A.L., Nykaza I.R., et al. Single-cell gene expression analyses reveal distinct self-renewing and proliferating subsets in the leukemia stem cell compartment in acute myeloid leukemia. Cancer Res. 2020;80:458–470. doi: 10.1158/0008-5472.CAN-18-2932.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	Cd38	positive	1.00	1	Mouse	CD38 antigen 	CellMarker
B-cell acute lymphoblastic leukemia	DOID:0080638	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:0080638-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD38	positive	0.07	1	Human	CD38 molecule 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	CD38	positive	0.07	1	Human	CD38 molecule 	CellMarker
